Name,Country,Discipline,Event
ABDELMAGID Wael,Egypt,Football,N/A
ABE Junya,Japan,Volleyball,N/A
ABE Katsuhiko,Japan,Basketball,N/A
ADAMA Cherif,Côte d'Ivoire,Football,N/A
AGEBA Yuya,Japan,Volleyball,N/A
AIKMAN Siegfried Gottlieb,Japan,Hockey,Men
AL SAADI Kais,Germany,Hockey,Men
ALAMEDA Lonni,Canada,Baseball/Softball,Softball
ALEKNO Vladimir,Islamic Republic of Iran,Volleyball,Men
ALEKSEEV Alexey,ROC,Handball,Women
ALLER CARBALLO Manuel Angel,Spain,Basketball,N/A
ALSHEHRI Saad,Saudi Arabia,Football,Men
ALY Kamal,Egypt,Football,N/A
AMAYA GAITAN Fabian,Puerto Rico,Basketball,N/A
AMO AGUADO Pablo,Spain,Football,N/A
ANDONOVSKI Vlatko,United States of America,Football,Women
ANNAN Alyson,Netherlands,Hockey,Women
ARNAU CREUS Xavier,Japan,Hockey,Women
ARNOLD Graham,Australia,Football,Men
AXNER Tomas,Sweden,Handball,Women
BABER Gareth Colin,Fiji,Rugby Sevens,Men
BACIU Horatiu,Romania,Football,N/A
BANBULA Wojciech,Poland,Volleyball,N/A
BAO Zhuang,People's Republic of China,Volleyball,N/A
BARYLA Pawel,ROC,Volleyball,N/A
BASILIO Mel,Canada,Baseball/Softball,Softball
BASSO Paola,Great Britain,Artistic Swimming,Duet
BATCH Colin,Australia,Hockey,Men
BATISTA Fernando,Argentina,Football,Men
BATISTA SANTIAGO Gerardo,Puerto Rico,Basketball,Women
BENCIC Filip,Serbia,Basketball,N/A
BERG Laura,United States of America,Baseball/Softball,Softball
BERGE Christian,Norway,Handball,Men
BILLAVA SURESH Ankitha,India,Hockey,Women
BIRO Attila,Hungary,Water Polo,Women
BLECHER SIDOROVA Svetlana,Israel,Artistic Swimming,Duet
BLENGINI Gianlorenzo,Italy,Volleyball,Men
BOLTON Alice,Nigeria,Basketball,N/A
BREIVIK Marit,Norway,Handball,N/A
BRODERICK William,Brazil,Rugby Sevens,Women
BRONDELLO Sandy,Australia,Basketball,Women
BROWN Chris,United States of America,Rugby Sevens,Women
BROWN Michael,Nigeria,Basketball,Men
BRUN Aristide,Austria,Artistic Swimming,N/A
BUNTING Allan,New Zealand,Rugby Sevens,Women
BURLANDO Giovanna,Italy,Artistic Swimming,N/A
BUSATO Sergio,ROC,Volleyball,Women
BUSENKELL Axel,Germany,Football,N/A
BYRNE Mick,Canada,Rugby Sevens,Women
CADENAS MONTANES Manuel,Argentina,Handball,Men
CALDAS Max,Netherlands,Hockey,Men
CAMPAGNA Alessandro,Italy,Water Polo,Men
CARO Carlos,Mexico,Baseball/Softball,Softball
CASAREZ Mary Lucy,Japan,Baseball/Softball,Softball
CASTRO Alex,Chile,Football,N/A
CHAMBERS Cheryl,Australia,Basketball,N/A
CHEPAK Anastasiya,Egypt,Artistic Swimming,Duet
CHEPAK Anastasiya,Egypt,Artistic Swimming,Team
CHERNETSKA Natalia,Greece,Artistic Swimming,Duet
CHERNETSKA Natalia,Greece,Artistic Swimming,Team
CHIARI Simona,San Marino,Artistic Swimming,N/A
CHOI Il Eon,Republic of Korea,Baseball/Softball,Baseball
CHUN Jooweon,Republic of Korea,Basketball,Women
CLARK STEPHEN Gregg,India,Hockey,Men
COLLET Vincent,France,Basketball,Men
COMMENS Adam,Belgium,Hockey,N/A
COURTEIX David,France,Rugby Sevens,Women
CRESPI JAUME Margalida,Colombia,Artistic Swimming,N/A
CRUZ Filipe,Angola,Handball,Women
DAL ZOTTO Renan,Brazil,Volleyball,Men
DANCER Sean,Ireland,Hockey,Women
DANCHENKO Tatiana,ROC,Artistic Swimming,Duet
DAVY Jeremy,Australia,Hockey,Women
DAZA Fabian,Chile,Football,N/A
de la FUENTE CASTILLO Luis,Spain,Football,Men
de MOURA Luizomar,Kenya,Volleyball,Women
de OLIVEIRA Marcus Ricardo,Brazil,Handball,Men
de VOS Robbert-Jan,Netherlands,Hockey,N/A
DELANEY Mike,New Zealand,Hockey,N/A
DEMCHENKO Zhanna,Kazakhstan,Artistic Swimming,Duet
DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,N/A
DIAZ HENRIQUEZ Nestor,Dominican Republic,Basketball,N/A
DIDENKO Natalia,Spain,Artistic Swimming,N/A
DOBSON Howard,United States of America,Baseball/Softball,Softball
DORE Karine,Canada,Artistic Swimming,N/A
DROBNJAK Dragisa,Slovenia,Basketball,N/A
DUENAS de GALARZA Jorge,Brazil,Handball,Women
DURO Fernando,Venezuela,Basketball,N/A
DYKSTRA Trisha,Australia,Basketball,N/A
ECHEZURIA Manuel,Venezuela,Basketball,N/A
EDDY Anthony,Ireland,Rugby Sevens,Men
EITOKU Atsushi,Japan,Artistic Swimming,N/A
ELAFANDI Nour,Egypt,Artistic Swimming,Duet
ELAFANDI Nour,Egypt,Artistic Swimming,Team
ELEK Gabor,Hungary,Handball,Women
ENGELLAND Chip,United States of America,Basketball,N/A
ENQUIST Susan,United States of America,Volleyball,N/A
ERIKSEN Ken,United States of America,Baseball/Softball,Softball
EWING Gareth,South Africa,Hockey,Men
FABRE Julie,France,Artistic Swimming,Duet
FAHMY LATIF Yasmine,Egypt,Artistic Swimming,N/A
FALERO Miguel,Honduras,Football,Men
FARINELLI Roberta,Italy,Artistic Swimming,Duet
FARINELLI Roberta,Italy,Artistic Swimming,Team
FATOVIC Elvis,Australia,Water Polo,Men
FAVAREL Pablo,Venezuela,Basketball,N/A
FEDIUSHYNA Tetiana,Ukraine,Artistic Swimming,N/A
FERRARO Hernan,Argentina,Volleyball,Women
FISH Nathan,Israel,Baseball/Softball,Baseball
FLOWERS Tairia,United States of America,Baseball/Softball,Softball
FOIREST Laurent,France,Basketball,N/A
FORREST Scott,Great Britain,Rugby Sevens,Women
FRIDAY Mike,United States of America,Rugby Sevens,Men
FUENTES Andrea,United States of America,Artistic Swimming,Duet
FUERBRINGER Matthew,United States of America,Volleyball,N/A
FUJIKI Mayuko,Spain,Artistic Swimming,Duet
FUJIKI Mayuko,Spain,Artistic Swimming,Team
FULI Saiasi,Fiji,Rugby Sevens,Women
GADEMAN Pasha,Canada,Hockey,Men
GAIDUKOV Aleksandr,ROC,Water Polo,Women
GARCIA HERRERA Manuel,Dominican Republic,Baseball/Softball,Baseball
GARCIA Nestor,Dominican Republic,Basketball,N/A
GARCIA PIZARRO Paula,Colombia,Artistic Swimming,Duet
GARNIER Valerie,France,Basketball,Women
GERHARDSSON Peter,Sweden,Football,Women
GIACOBBE Antonio,Tunisia,Volleyball,Men
GIALLOMBARDO Patrizia,Italy,Artistic Swimming,Duet
GIALLOMBARDO Patrizia,Italy,Artistic Swimming,Team
GILLE Guillaume,France,Handball,Men
GINZBURG Ronen,Czech Republic,Basketball,Men
GISLASON Alfred,Germany,Handball,Men
GOJKOVIC Vladimir,Montenegro,Water Polo,Men
GOMEZ CORA Santiago,Argentina,Rugby Sevens,Men
GONZALEZ Anibal,Mexico,Football,N/A
GONZALEZ JARENO Angel,Spain,Basketball,N/A
GOORJIAN Brian,Australia,Basketball,Men
GORDO MANSILLA Juan David,Spain,Football,N/A
GRAINGER Adam,Ireland,Hockey,N/A
GRAUPERA Cristina,Greece,Artistic Swimming,N/A
GRAZIOSI Gianluca,Italy,Volleyball,N/A
GRESKOWIAK Arne,Germany,Basketball,N/A
GRYZUNOVA Elena,ROC,Artistic Swimming,Team
GUERRERO LOPEZ Julen,Spain,Football,N/A
GUERRERO Rolando,Mexico,Baseball/Softball,Softball
GUERRERO Rolando,Mexico,Baseball/Softball,Softball
GUIDETTI Giovanni,Turkey,Volleyball,Women
GUILLEN Ronald,Venezuela,Basketball,N/A
GUIMARAES Jose Roberto,Brazil,Volleyball,Women
GUSTAVSSON Tony,Australia,Football,Women
HAGER Mark,Great Britain,Hockey,Women
HAIDARA Soualiho,Côte d'Ivoire,Football,Men
HALD Simon,Denmark,Handball,N/A
HALKETT Rhett,Netherlands,Hockey,N/A
HAM Darvin de,Nigeria,Basketball,N/A
HARDY William,United States of America,Basketball,N/A
HARROW Laing,Australia,Baseball/Softball,Softball
HARVEY Laura,United States of America,Football,N/A
HAVENGA Arno,Netherlands,Water Polo,Women
HAY Danny,New Zealand,Football,Men
HEM Thon Ponloeu,Cambodia,Artistic Swimming,N/A
HENKEL Claas,Germany,Hockey,Men
HENNING Andre,Canada,Hockey,Men
HERGEIRSSON Thorir,Norway,Handball,Women
HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,N/A
HERNANDEZ Sergio,Argentina,Basketball,Men
HEYNEN Vital,Poland,Volleyball,Men
HIROSE Norikazu,Japan,Football,N/A
HOAG Glenn,Canada,Volleyball,Men
HOLANEK Zoltan,Hungary,Handball,N/A
HOVASSE Thomas Wayne,Japan,Basketball,Women
HUGHES Daniel,United States of America,Basketball,N/A
HUGHLEY JR Otis,Nigeria,Basketball,Women
IMURA Masayo,Japan,Artistic Swimming,N/A
IWABUCHI Kensuke,Japan,Rugby Sevens,Men
JACOBSEN Nikolaj,Denmark,Handball,Men
JARDINE Andre,Brazil,Football,Men
JAUMA CAYUELA Esther,Netherlands,Artistic Swimming,Duet
JENNINGS Dee,Australia,Hockey,N/A
JEROME Essapa,Côte d'Ivoire,Football,N/A
JIA Xiuquan,People's Republic of China,Football,Women
JIMENEZ NIETO Cecilia,Spain,Artistic Swimming,N/A
JOHNSON Vickie,United States of America,Basketball,N/A
JONES Chris,Canada,Baseball/Softball,Softball
JONES Nathan,Australia,Baseball/Softball,Softball
KAISER Pierre,Belgium,Basketball,N/A
KANEKO Makoto,Japan,Baseball/Softball,Baseball
KANG Jae Won,Republic of Korea,Handball,Women
KANUNGO Bergin,Zambia,Football,N/A
KAWASE Asaki,Japan,Football,N/A
KAZAMA Takafumi,Japan,Football,N/A
KELLER Florian,Germany,Hockey,Women
KERRY Danny,Great Britain,Hockey,Men
KIM Chanbin,Republic of Korea,Football,N/A
KIM Hagbum,Republic of Korea,Football,Men
KIRALY Karch,United States of America,Volleyball,Women
KIRKELY Ulrik,Japan,Handball,Women
KIRKPATRICK Andrew,Australia,Baseball/Softball,Softball
KITABAYASHI Kenji,Japan,Handball,N/A
KLARENBEEK Auke,Netherlands,Handball,N/A
KNEZEVIC Nemanja,Kazakhstan,Water Polo,Men
KOFFI Anthony,Côte d'Ivoire,Football,N/A
KONSTANTINOV Aleksei,ROC,Volleyball,N/A
KONTIC Svetlana,Serbia,Artistic Swimming,N/A
KRIKORIAN Adam,United States of America,Water Polo,Women
KRIST JANSSON Aron,Bahrain,Handball,Men
KRUMBHOLZ Olivier,France,Handball,Women
KULESZA Katarzyna,Canada,Artistic Swimming,Team
KUNTZ Stefan,Germany,Football,Men
KUZIN Andrey,ROC,Rugby Sevens,Women
KWIEK Marcos,Dominican Republic,Volleyball,Women
LAIDLAW Clark,New Zealand,Rugby Sevens,Men
LAMAS Julio,Japan,Basketball,Men
LANG Ping,People's Republic of China,Volleyball,Women
LAVARINI Stefano,Republic of Korea,Volleyball,Women
LAZARO CORRAL Jesus,Spain,Basketball,N/A
LETELIER Jose,Chile,Football,Women
LOCK Adrian Mayner,Spain,Hockey,Women
LOFTUS Adriana,Mexico,Artistic Swimming,Duet
LOPES BARBOSA Leonard,Kenya,Volleyball,N/A
LOPEZ GUILLEN Melvyn,Dominican Republic,Basketball,N/A
LOPEZ Monica Susana,Argentina,Artistic Swimming,N/A
LOUCKS Luke,Nigeria,Basketball,N/A
LOZANO Jaime,Mexico,Football,Men
MACEK Anze,Slovenia,Basketball,N/A
MACKINTOSH Euan Michael Gordon,People's Republic of China,Rugby Sevens,Women
MAEDA Kenzo,Japan,Basketball,N/A
MAHLANGU Sibusiso,South Africa,Football,N/A
MAKIRI Hare,Japan,Rugby Sevens,Women
MALJKOVIC Marina,Serbia,Basketball,Women
MANENTI John,Australia,Rugby Sevens,Women
MANZANILLO Andres,Venezuela,Volleyball,N/A
MARCZ Tamas,Hungary,Water Polo,Men
MARIJNE Sjoerd,India,Hockey,Women
MARINELLI Fernando,Chile,Football,N/A
MARTIN LOZANO David,Spain,Water Polo,Men
MARTIN Paul,South Africa,Water Polo,Men
MASHA Mario,South Africa,Football,N/A
MATSUNO Yoshiyuki,Japan,Basketball,N/A
MATSUODANI Yasushi,Japan,Football,N/A
MAYBURY Elena,United States of America,Football,N/A
MAYONNADE Emmanuel,Netherlands,Handball,Women
MAZZANTI Davide,Italy,Volleyball,Women
McCRORIE Christy,South Africa,Hockey,N/A
McLEOD Shane,Belgium,Hockey,Men
MEDINA Bobby,Nigeria,Basketball,N/A
MENDEZ Marcelo Rodolfo,Argentina,Volleyball,Men
MENGUAL CIVIL Gemma,Spain,Artistic Swimming,N/A
MENTOOR Delaine,South Africa,Water Polo,Women
MERCEDES del ROSARIO Jose,Dominican Republic,Basketball,N/A
MESTDAGH Philip,Belgium,Basketball,Women
MEZHENINA Valeriia,Ukraine,Artistic Swimming,Team
MEZIANE Rachid,France,Basketball,N/A
MIHAILOVIC Predrag,Australia,Water Polo,Women
MIREJOVSKY Michal,Czech Republic,Basketball,N/A
MIRET GARCIA Daniel,Spain,Basketball,N/A
MIURA Keiko,Japan,Hockey,Women
MIYAKAWA Miya,Japan,Artistic Swimming,N/A
MLADENOVA Albena,Austria,Artistic Swimming,Duet
MOHAMED Mai,Egypt,Artistic Swimming,N/A
MOHAMED Sayeda,Saudi Arabia,Football,N/A
MOHAMMED Silifat,Nigeria,Basketball,N/A
MONDELO GARCIA Lucas,Spain,Basketball,Women
MONTICO Loredana,Australia,Artistic Swimming,Duet
MONTICO Loredana,Australia,Artistic Swimming,Team
MORIYASU Hajime,Japan,Football,Men
MOTOMIYA Makihiro,Japan,Water Polo,Women
MULATI Adilijiang,People's Republic of China,Basketball,N/A
MUNOZ Noe de Jesus,Mexico,Baseball/Softball,Baseball
MWAPE Bruce,Zambia,Football,Women
NAGAE Shoji,Japan,Volleyball,N/A
NAIDOO Taren,South Africa,Hockey,Women
NAKADA Kumi,Japan,Volleyball,Women
NAKAGAICHI Yuichi,Japan,Volleyball,Men
NCUBE Mthandazo,South Africa,Football,N/A
NEVES Christophe,Côte d'Ivoire,Football,N/A
NISHIDA Takumi,Japan,Rugby Sevens,N/A
NOTOANE David,South Africa,Football,Men
OCA GAIA Miguel Angel,Spain,Water Polo,Women
ODAUDU Ogoh,Nigeria,Basketball,N/A
OLOO Felix,Kenya,Rugby Sevens,Women
OMOTO Yoji,Japan,Water Polo,Men
PAGAN CRISTOBAL Angel,Puerto Rico,Basketball,N/A
PALERMI Giovanna,Italy,Baseball/Softball,Softball
PANTOJA Hernan,Venezuela,Volleyball,N/A
PARADELO David,Canada,Water Polo,Women
PARRONDO Roberto,Egypt,Handball,Men
PAUL Henry,Canada,Rugby Sevens,Men
PECCI Isabella,San Marino,Artistic Swimming,N/A
PEDRERO Ofelia,Mexico,Artistic Swimming,Duet
PEREIRA Paulo Jorge,Portugal,Handball,Men
PEREZ Jose,Venezuela,Basketball,N/A
PIBIRI Rossella,Italy,Artistic Swimming,N/A
PISKAREVA Ekaterina,ROC,Artistic Swimming,N/A
PIZZOLINI Federico,Italy,Baseball/Softball,Softball
POPOVICH Gregg,United States of America,Basketball,Men
POROBIC Petar,People's Republic of China,Water Polo,Women
POTTER Anthony,Australia,Hockey,Men
POWELL Katrina,Australia,Hockey,Women
POWELL Neil,South Africa,Rugby Sevens,Men
PRADO BRANAS Joaquin,Spain,Basketball,N/A
PRIESTMAN Bev,Canada,Football,Women
RADOI Mirel,Romania,Football,Men
RECKINGER Xavier,Germany,Hockey,Women
REID Graham John,India,Hockey,Men
REQUENA PERICAS Judit,Spain,Artistic Swimming,Duet
REQUENA PERICAS Judit,Spain,Artistic Swimming,Team
RETEGUI Carlos Jose,Argentina,Hockey,Men
RETEGUI Carlos Jose,Argentina,Hockey,Women
RIBERA ROMANS Jordi,Spain,Handball,Men
RIISE Hege,Great Britain,Football,Women
RILLIE John,Australia,Basketball,N/A
RIPOLL Sylvain,France,Football,Men
RODRIGUEZ Eduardo Rafael,Argentina,Volleyball,N/A
ROEDL Henrik,Germany,Basketball,Men
ROQUES Anthony,Great Britain,Rugby Sevens,Men
SACCHETTI Romeo,Italy,Basketball,Men
SALAM Mohamed,Egypt,Football,N/A
SAMMELVUO Tuomas,ROC,Volleyball,Men
SARTI Ronald,Venezuela,Volleyball,Men
SAVIC Dejan,Serbia,Water Polo,Men
SAVIC Maja,Montenegro,Handball,Women
SCARIOLO Sergio,Spain,Basketball,Men
SCHILLING April,Nigeria,Basketball,N/A
SEKULIC Aleksander,Slovenia,Basketball,Men
SEO Chun Oh,Republic of Korea,Rugby Sevens,Men
SERMANNI Tom,New Zealand,Football,Women
SHAHINTAB Mehran,Islamic Republic of Iran,Basketball,Men
SHAHNAZI Shahbaz,Austria,Artistic Swimming,N/A
SHAW Graham,New Zealand,Hockey,Women
SHAWKY Gharib,Egypt,Football,Men
SIAM Zaghloul,Egypt,Football,N/A
SIGURDSSON Dagur,Japan,Handball,Men
SIMIYU Innocent,Kenya,Rugby Sevens,Men
SINGH Shivendra,India,Hockey,Men
SMITH Darren,New Zealand,Hockey,Men
SMITH Mark,Canada,Baseball/Softball,Softball
SOLBERG Glenn,Sweden,Handball,Men
SOYEZ Frederic,Spain,Hockey,Men
SPERAW John,United States of America,Volleyball,Men
SPERONI Stefania,Great Britain,Artistic Swimming,Duet
STALEY Dawn,United States of America,Basketball,Women
STANIFORTH Dave,Australia,Hockey,N/A
STAS Jacques,Belgium,Basketball,N/A
SUNDHAGE Pia Mariane,Brazil,Football,Women
SVETLICHNAYA Aliona,Belarus,Artistic Swimming,Duet
SZAUDER Gabor,Canada,Artistic Swimming,Duet
SZAUDER Gabor,Canada,Artistic Swimming,Team
SZAUDER Nora,Slovakia,Artistic Swimming,N/A
TAGLE German,Chile,Football,N/A
TAKAKURA Asako,Japan,Football,Women
TAKITA Risako,Japan,Artistic Swimming,N/A
TARR Heather,United States of America,Baseball/Softball,Softball
TARRES CAMPA Ana,Greece,Artistic Swimming,Duet
TARRES CAMPA Ana,Greece,Artistic Swimming,Team
TERZIC Zoran,Serbia,Volleyball,Women
THOMAIDIS Lisa,Canada,Basketball,Women
TILLIE Laurent,France,Volleyball,Men
TOMOMATSU Yumiko,Italy,Artistic Swimming,N/A
TUCAK Ivica,Croatia,Water Polo,Men
TURNER Glenn,New Zealand,Hockey,Men
UDOKA Ime,United States of America,Basketball,N/A
UDOVICIC Dejan,United States of America,Water Polo,Men
UTKIN Volodymyr,Ukraine,Artistic Swimming,N/A
UTSUGI Reika,Japan,Baseball/Softball,Softball
van GINKEL Robin,South Africa,Hockey,Women
van GUNDY Jeff,United States of America,Basketball,N/A
VASQUEZ Diego,Venezuela,Basketball,N/A
VEGA HERRERO Anna,Spain,Artistic Swimming,N/A
VILLEGAS Orlando,Venezuela,Volleyball,N/A
VITORINO de SOUZA Marcelo,Kenya,Volleyball,N/A
VIVER ARZA Carlos Enrique,Spain,Handball,Women
VLACHOS Theodoros,Greece,Water Polo,Men
VORONOVA Elena,ROC,Artistic Swimming,Duet
WALL Michael,United States of America,Volleyball,N/A
WALSH Tim,Australia,Rugby Sevens,Men
WANG Jie,People's Republic of China,Artistic Swimming,Duet
WANG Jie,People's Republic of China,Artistic Swimming,Team
WANG Yang,People's Republic of China,Hockey,Women
WEINSTEIN Jerry,United States of America,Baseball/Softball,Baseball
WIEGMAN Sarina,Netherlands,Football,Women
WIRTH Oscar,Chile,Football,N/A
WOELFLIN Roberto Osvaldo,Argentina,Volleyball,N/A
WOICKI Pawel,Poland,Volleyball,N/A
WRIGHT Jerold,United States of America,Basketball,N/A
XU Limin,People's Republic of China,Basketball,Women
YAMAJI Noriko,Japan,Baseball/Softball,Softball
YUAN Lingxi,People's Republic of China,Volleyball,N/A
YURKIN Sergey,ROC,Volleyball,N/A
ZAITSEVA Olesia,Ukraine,Artistic Swimming,Duet
ZAMORA PEDREIRA Javier,Spain,Basketball,N/A
ZAMPIERI Francesca,Liechtenstein,Artistic Swimming,Duet
ZHANG Xiaohuan,People's Republic of China,Artistic Swimming,N/A
ZIJP Simon,Netherlands,Hockey,N/A
ZONDI Nkuliso,South Africa,Hockey,Women
